assay_type,canonical_smiles,data_validity_comment,molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value,standard_value_nM,pIC50,smiles_clean
B,C[C@H]1NC(=O)c2cc(-c3c(F)ccc4c(=O)n(C)c(NC(C)(C)C)nc34)[nH]c21,,CHEMBL3902148,10.92,IC50,nM,0.012,IC50,nM,0.012,0.012,10.920818753952377,C[C@H]1NC(=O)c2cc(-c3c(F)ccc4c(=O)n(C)c(NC(C)(C)C)nc34)[nH]c21
B,CC(C)n1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)cccc2c1=O,,CHEMBL3940091,10.92,IC50,nM,0.012,IC50,nM,0.012,0.012,10.920818753952377,CC(C)n1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)cccc2c1=O
B,C[C@@H]1C[C@H](N)C[C@H](c2ccccc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C1,,CHEMBL4741714,10.74,IC50,nM,0.018,IC50,pM,18.0,0.018,10.744727494896694,C[C@@H]1C[C@H](N)C[C@H](c2ccccc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C1
B,C[C@@H]1C[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C1,,CHEMBL3651966,10.74,IC50,nM,0.018,IC50,pM,18.0,0.018,10.744727494896694,C[C@@H]1C[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C1
B,Cn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](CCN)NC4=O)cccc2c1=O,,CHEMBL3909351,10.7,IC50,nM,0.02,IC50,nM,0.02,0.02,10.69897000433602,Cn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](CCN)NC4=O)cccc2c1=O
B,Cc1nc2ccc(F)c(-c3cc4c([nH]3)C3(CC3)NC4=O)c2nc1NC1(C)CC1,,CHEMBL3949102,10.45,IC50,nM,0.0354,IC50,nM,0.0354,0.0354,10.450996737974211,Cc1nc2ccc(F)c(-c3cc4c([nH]3)C3(CC3)NC4=O)c2nc1NC1(C)CC1
B,Cc1nc2cccc(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1N[C@H]1CCC[C@@H](N)C1,,CHEMBL3903686,10.45,IC50,nM,0.0358,IC50,nM,0.0358,0.0358,10.446116973356126,Cc1nc2cccc(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1N[C@H]1CCC[C@@H](N)C1
B,CCn1c(NC2(C)CC2)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)c(F)ccc2c1=O,,CHEMBL3895124,10.42,IC50,nM,0.0378,IC50,nM,0.0378,0.0378,10.422508200162774,CCn1c(NC2(C)CC2)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)c(F)ccc2c1=O
B,CC(C)(C)Nc1nc2c(-c3cc4c([nH]3)CCNC4=O)cccc2[nH]c1=O,,CHEMBL3918907,10.42,IC50,nM,0.0378,IC50,nM,0.0378,0.0378,10.422508200162774,CC(C)(C)Nc1nc2c(-c3cc4c([nH]3)CCNC4=O)cccc2[nH]c1=O
B,Cc1nc2ccc(F)c(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1NC1(C)CC1,,CHEMBL3949318,10.32,IC50,nM,0.0484,IC50,nM,0.0484,0.0484,10.315154638355589,Cc1nc2ccc(F)c(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1NC1(C)CC1
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C5(C)CC5)c(NC5(C)CC5)nc34)[nH]c21,,CHEMBL4568404,10.3,IC50,nM,0.05,IC50,nM,0.05,0.05,10.30102999566398,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C5(C)CC5)c(NC5(C)CC5)nc34)[nH]c21
B,Cc1nc2cccc3c2nc1N[C@H](C)/C=C/C[C@H]1CNC(=O)c2cc-3[nH]c21,,CHEMBL3808887,10.3,IC50,nM,0.05,IC50,nM,0.05,0.05,10.30102999566398,Cc1nc2cccc3c2nc1N[C@H](C)/C=C/C[C@H]1CNC(=O)c2cc-3[nH]c21
B,Cc1nc2cccc3c2nc1NCCCC[C@H]1CNC(=O)c2cc-3[nH]c21,,CHEMBL3808669,10.3,IC50,nM,0.05,IC50,nM,0.05,0.05,10.30102999566398,Cc1nc2cccc3c2nc1NCCCC[C@H]1CNC(=O)c2cc-3[nH]c21
B,C[C@H]1NC(=O)c2cc(-c3c(F)ccc4c3N=C(NC3(C)CC3)N(C3CC3)C4)[nH]c21,,CHEMBL3949175,10.22,IC50,nM,0.06,IC50,nM,0.06,0.06,10.221848749616356,C[C@H]1NC(=O)c2cc(-c3c(F)ccc4c3N=C(NC3(C)CC3)N(C3CC3)C4)[nH]c21
B,Cc1nc2ccc(F)c(-c3cc4c(=O)[nH]ccc4[nH]3)c2nc1NC(C)(C)C,,CHEMBL3896195,10.18,IC50,nM,0.0667,IC50,nM,0.0667,0.0667,10.175874166083451,Cc1nc2ccc(F)c(-c3cc4c(=O)[nH]ccc4[nH]3)c2nc1NC(C)(C)C
B,Cc1nc2cccc3c2nc1NC/C=C\C[C@H]1CNC(=O)c2cc-3[nH]c21,,CHEMBL3810121,10.15,IC50,nM,0.07,IC50,nM,0.07,0.07,10.154901959985745,Cc1nc2cccc3c2nc1NC/C=C\C[C@H]1CNC(=O)c2cc-3[nH]c21
B,CCn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)c(F)ccc2c1=O,,CHEMBL3960373,10.13,IC50,nM,0.0741,IC50,nM,0.0741,0.0741,10.130181792020672,CCn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)c(F)ccc2c1=O
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C5CC5)c(NC(C)(C)C)nc34)[nH]c21,,CHEMBL3919725,10.12,IC50,nM,0.076,IC50,nM,0.076,0.076,10.119186407719209,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C5CC5)c(NC(C)(C)C)nc34)[nH]c21
B,CCn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)cccc2c1=O,,CHEMBL3909217,10.11,IC50,nM,0.077,IC50,nM,0.077,0.077,10.113509274827518,CCn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)cccc2c1=O
B,Cc1nc2cccc(-c3[nH]c4c(c3Cl)C(=O)NC4)c2nc1NC1(C)CC1,,CHEMBL3933056,10.11,IC50,nM,0.0783,IC50,nM,0.0783,0.0783,10.106238237942057,Cc1nc2cccc(-c3[nH]c4c(c3Cl)C(=O)NC4)c2nc1NC1(C)CC1
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC5CC5)c(NC(C)(C)C)nc34)[nH]c21,,CHEMBL4441708,10.1,IC50,nM,0.08,IC50,nM,0.08,0.08,10.096910013008056,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC5CC5)c(NC(C)(C)C)nc34)[nH]c21
